Manufacturer,sales_numbers,percent_change_2023,year
Toyota,1986954,4.0,2024
Ford,1960338,2.0,2024
Chevrolet,1730075,2.0,2024
Honda,1291490,11.0,2024
Nissan,865938,11.0,2024
Hyundai,836802,4.0,2024
Kia,782451,2.0,2024
Subaru,667725,5.0,2024
GMC,614177,9.0,2024
Jeep,587725,9.0,2024
Ram Trucks,439039,4.0,2024
Mazda,424382,17.0,2024
Volkswagen,379178,17.0,2024
BMW,371346,2.0,2024
Lexus,345669,8.0,2024
Mercedes-Benz,324528,9.0,2024
Audi,196576,14.0,2024
Buick,183421,10.0,2024
Cadillac,160204,9.0,2024
Dodge,141730,29.0,2024
Acura,132367,9.0,2024
Volvo,125243,2.0,2024
Chrysler,124684,7.0,2024
Mitsubishi,109843,26.0,2024
Land Rover,106650,29.0,2024
Lincoln,104823,28.0,2024
Porsche,76167,1.0,2024
Genesis,75003,0.0,2024
INFINITI,58070,2.0,2024
MINI,26299,22.0,2024
Jaguar,13210,33.0,2024
Alfa Romeo,8865,19.0,2024
Maserati,6320,4.0,2024
Bentley,3840,8.0,2024
Lamborghini,3826,4.0,2024
Rolls-Royce,1765,1.0,2024
Fiat,1528,152.0,2024
McLaren,1270,16.0,2024
